Name,SRR1140763,SRR1140994,SRR1140995,SRR1142421,SRR1142422,SRR1142423
Smp_005670.1,326.465,538.191,1637.03,6430.946,1323.752,1736.314
Smp_005720.1,61.007,85.001,289.99,1653.96,320.998,403.891
Smp_005780.1,53.0,66.0,273.0,775.0,213.0,345.0
Smp_005790.1,16.0,18.0,57.0,598.004,34.0,63.0
Smp_005880.1,1154.999,1413.076,3918.805,33396.655,3548.505,4975.182
Smp_005900.1,137.361,189.862,570.449,2009.564,365.541,539.687
Smp_005910.1,135.0,167.0,518.0,1614.0,365.0,740.0
Smp_005960.1,65.966,77.35,384.962,1159.352,302.773,441.442
Smp_006000.1,123.0,169.0,497.0,1437.0,452.0,469.0
Smp_006060.1,85.0,75.0,244.0,2461.0,217.0,287.0
Smp_006190.1,105.0,153.0,475.0,1380.0,315.0,514.0
Smp_006195.1,3.364,1.058,7.182,124.927,3.299,0.0
Smp_006250.1,143.0,200.0,618.0,2197.0,642.0,911.0
Smp_006320.1,137.116,303.278,736.907,3878.547,1085.989,1299.658
Smp_006320.2,257.884,409.722,1493.093,1551.453,800.011,1282.342
Smp_006340.1,74.0,119.619,395.323,621.429,379.466,478.523
Smp_006350.1,703.0,810.381,2582.677,7187.571,2361.534,3487.477
Smp_006390.1,414.0,610.0,1787.0,6577.0,1453.0,1822.0
Smp_006440.1,103.0,126.0,380.0,2359.0,350.0,604.0
Smp_006550.1,333.0,854.0,2962.0,3588.968,1871.0,2609.0
Smp_006560.1,1012.0,2298.0,6004.0,34421.0,5196.0,8540.0
Smp_006590.1,61.0,59.0,311.0,687.0,209.0,295.0
Smp_006630.1,315.0,387.0,1427.0,2835.0,1376.0,1310.0
Smp_006680.1,78.0,84.0,280.0,1013.0,287.0,243.0
Smp_006690.1,73.245,169.39,463.072,841.029,382.43,555.18
Smp_006700.1,234.755,238.61,897.928,2050.971,623.57,778.82
Smp_006710.1,32.0,36.0,190.0,445.0,134.0,193.0
Smp_006720.1,31.0,95.0,151.004,592.221,188.0,206.0
Smp_006730.1,72.0,83.0,342.0,3863.0,319.0,469.0
Smp_006750.1,46.0,66.0,193.0,452.0,271.0,255.0
Smp_006760.1,2.0,4.0,17.0,23.0,12.0,10.0
Smp_006780.1,32.0,67.0,185.0,965.0,160.0,168.0
Smp_006810.1,41.0,52.0,178.0,888.0,203.0,214.0
Smp_006830.1,153.0,291.0,985.0,1991.0,920.0,1059.0
Smp_006840.1,104.0,188.0,413.001,1869.012,409.0,542.004
Smp_006850.1,138.0,249.0,623.0,2556.0,613.0,667.0
Smp_006860.1,798.0,1727.0,3718.0,22909.0,4228.0,5651.0
Smp_006920.1,73.006,55.158,172.995,777.894,121.003,228.763
Smp_006930.1,55.0,78.0,182.0,822.0,219.0,287.0
Smp_007000.1,4.0,19.0,21.0,85.0,41.0,15.0
Smp_007070.1,21.0,13.0,55.0,307.0,33.0,64.0
Smp_007170.1,760.296,1295.258,2888.263,11782.493,2701.854,4769.691
Smp_007180.1,179.793,335.0,944.836,2299.833,905.931,1337.609
Smp_007180.2,53.207,0.0,33.164,538.167,55.069,41.391
Smp_007190.1,40.0,87.0,278.0,730.0,163.0,238.0
Smp_007210.1,69.927,91.978,197.225,1263.632,161.168,275.735
Smp_007260.1,689.0,697.0,2090.0,9517.0,2105.0,2638.0
Smp_007270.1,352.773,589.076,1741.993,9487.025,1720.269,2566.248
Smp_007290.1,81.0,91.0,289.0,661.0,242.0,329.0
Smp_007300.1,301.0,613.0,1927.0,6132.0,1290.0,1595.0
Smp_007330.1,11.0,5.0,27.0,67.0,25.0,29.0
Smp_007380.1,186.624,322.066,1013.753,2142.653,879.183,1060.801
Smp_007450.1,44.0,123.0,422.0,436.33,377.57,584.0
Smp_007450.2,0.0,0.0,0.0,94.67,5.43,0.0
Smp_007500.1,173.0,309.0,910.0,2802.0,777.0,1276.0
Smp_007510.1,325.0,487.0,1515.0,3750.0,1557.0,1982.0
Smp_007540.1,31.0,51.0,190.0,592.0,145.0,113.0
Smp_007550.1,19.0,23.0,114.0,202.0,73.0,112.0
Smp_007570.1,0.0,0.0,4.0,18.0,0.0,8.0
Smp_007630.1,98.931,100.11,391.822,1242.323,234.532,494.075
Smp_007630.2,45.069,140.89,234.178,718.677,330.468,123.925
Smp_007650.1,338.0,466.0,1642.0,4879.0,1266.0,2046.0
