source,target,correlation,abs_correlation,relation,interaction,edge_width,edge_sign
Smp_032670.1,Smp_140560.1,0.9809484189300548,0.9809484189300548,positive,positive,0.9809484189300548,positive
Smp_032670.1,Smp_247860.1,-0.9905217021534332,0.9905217021534332,negative,negative,0.9905217021534332,negative
Smp_032670.1,Smp_267070.1,-0.9842761121103816,0.9842761121103816,negative,negative,0.9842761121103816,negative
Smp_032670.1,Smp_136860.1,0.9825054203778916,0.9825054203778916,positive,positive,0.9825054203778916,positive
Smp_032670.1,Smp_303270.1,-0.9924922173907836,0.9924922173907836,negative,negative,0.9924922173907836,negative
Smp_032670.1,Smp_318310.1,-0.9760197038508044,0.9760197038508044,negative,negative,0.9760197038508044,negative
Smp_032670.1,Smp_077580.1,0.9895740974101386,0.9895740974101386,positive,positive,0.9895740974101386,positive
Smp_032670.1,Smp_172440.1,-0.9753346835352992,0.9753346835352992,negative,negative,0.9753346835352992,negative
Smp_032670.1,Smp_349300.1,-0.976729209481624,0.976729209481624,negative,negative,0.976729209481624,negative
Smp_168080.2,Smp_194370.1,0.9611530692648278,0.9611530692648278,positive,positive,0.9611530692648278,positive
Smp_168080.2,Smp_149380.2,0.9578189599888152,0.9578189599888152,positive,positive,0.9578189599888152,positive
Smp_168080.2,Smp_127870.1,0.9625791902281756,0.9625791902281756,positive,positive,0.9625791902281756,positive
Smp_168080.2,Smp_244860.1,0.9716373301943172,0.9716373301943172,positive,positive,0.9716373301943172,positive
Smp_168080.2,Smp_154900.1,-0.9941849755729012,0.9941849755729012,negative,negative,0.9941849755729012,negative
Smp_168080.2,Smp_314730.1,0.9592253242520964,0.9592253242520964,positive,positive,0.9592253242520964,positive
Smp_168080.2,Smp_055870.2,-0.9872475533391596,0.9872475533391596,negative,negative,0.9872475533391596,negative
Smp_168080.2,Smp_203090.1,-0.9953672895085328,0.9953672895085328,negative,negative,0.9953672895085328,negative
Smp_168080.2,Smp_334430.1,0.9872752172218272,0.9872752172218272,positive,positive,0.9872752172218272,positive
